email,customer_id,employee_index,country,sex,age,joindate,customer_index6,customer_life,customer_relation,res_index,for_index,prov_code,prov_name,activity_index,income,segmentation,CheckingAccount,SavingsAccount,CreditCard,HomeLoan,AutoLoan,InvestmentAccount,RetirementAccount,MoneyMarketAccount,CDAccount,DebitCard,OnlineBanking,Mortgage,DirectDeposit,Pension,BillPay,PersonalLoan,BrokerageAccount,TrustAccount,OverdraftProtection,PrepaidCard,MoneyTransfer,DirectDebit,BusinessAccount,SafeDepositBox
stevensonamy@example.net,2140224,N,US,O,33,12/11/19,6,7,C,S,N,27.0,Michaeltown,0.5750004819383295,28864.99728382402,Premium,0,1,0,0,1,0,0,0,1,1,1,0,0.0,,1,0,1,1,0,0,1,1,1,0
robert91@example.net,1318233,N,CA,M,50,01/06/19,4,20,A,N,S,17.0,Montgomeryview,0.5817069843541365,153401.07539957733,Individual,1,1,1,0,1,0,1,0,1,0,1,1,0.0,,0,1,0,1,1,1,0,0,1,1
jacksonbrad@example.com,1654961,N,MX,M,28,09/10/17,10,12,A,N,S,43.0,North Jasonborough,0.6384325146952691,154853.13701441634,Individual,0,1,1,1,0,0,0,1,1,1,1,1,1.0,,1,1,0,0,1,0,1,0,0,1
zritter@example.com,2285310,S,MX,O,78,07/04/24,2,11,A,S,N,25.0,Stevehaven,0.7877117044095272,169751.42276447898,Premium,1,0,1,0,0,1,0,1,1,0,1,1,0.0,,0,1,0,0,0,0,1,0,0,0
zdavis@example.com,5786251,N,CA,M,49,06/06/20,7,3,B,S,N,19.0,Hoffmanfurt,0.6648800753394358,180288.3345789641,Premium,0,0,1,0,0,0,0,0,1,0,1,1,1.0,1.0,1,0,1,1,0,0,0,1,0,1
jonathan13@example.com,6026915,N,MX,M,71,03/11/20,3,7,C,N,S,9.0,North Michelle,0.22386319843414504,194678.84315191576,Business,1,0,1,0,0,0,1,1,0,0,0,1,1.0,0.0,0,0,0,0,0,0,1,1,1,1
nathan37@example.net,5187549,S,CA,O,18,17/01/16,3,17,C,S,N,23.0,Lake Joshuashire,0.04758767473115855,79043.3329766904,Individual,1,1,0,0,1,0,1,1,0,0,0,1,1.0,,0,0,0,1,1,1,1,0,1,1
louis68@example.org,6544115,S,MX,F,36,06/09/22,9,1,C,N,N,1.0,West Rhondachester,0.4443875780082893,161886.1626718477,Individual,1,1,0,1,1,0,1,1,1,0,1,0,0.0,,1,0,0,0,0,1,0,1,0,1
ywalker@example.net,9555081,S,MX,F,33,20/07/17,1,10,C,S,S,27.0,Cathymouth,0.38806564624262996,93910.36649926059,Business,1,1,1,1,1,0,0,1,1,1,0,1,0.0,1.0,1,1,0,0,1,1,0,0,0,0
wkim@example.com,4383119,S,MX,O,38,04/07/19,3,15,B,S,N,,North Jerryfurt,0.1356885313898918,105842.85343684559,Premium,0,1,0,1,0,1,1,0,1,1,0,1,,0.0,1,0,1,0,0,1,1,1,1,0
